"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.352406400E-2,3.759722710E-1,3.349951655E-2,9.849455833E0,9.856685933E0
3.595385600E-2,3.903291821E-1,4.067798331E-2,9.847063065E0,9.854880140E0
3.838364800E-2,3.951148391E-1,3.828516230E-2,9.844670296E0,9.852670436E0
4.081343900E-2,3.783650696E-1,5.982056633E-2,9.837491989E0,9.844947296E0
4.324323100E-2,4.046861231E-1,4.307080805E-2,9.842277527E0,9.850687939E0
4.567302300E-2,3.999004960E-1,3.828516230E-2,9.835099220E0,9.843300403E0
4.810276200E-2,3.903291821E-1,2.871387079E-2,9.832706451E0,9.840492748E0
5.053255400E-2,3.903291821E-1,3.110669367E-2,9.837491989E0,9.845281770E0
5.296234500E-2,3.903291821E-1,2.871387079E-2,9.844670296E0,9.852447137E0
5.539213700E-2,3.879363835E-1,1.196411345E-2,9.856635094E0,9.864273574E0
5.782192900E-2,3.807578981E-1,2.153540403E-2,9.849455833E0,9.856836235E0
6.025172000E-2,3.879363835E-1,2.153540403E-2,9.847063065E0,9.854725233E0
6.268146000E-2,3.831507266E-1,2.871387079E-2,9.847063065E0,9.854556305E0
6.511125200E-2,3.855435550E-1,3.349951655E-2,9.844670296E0,9.852273813E0
6.754104300E-2,4.046861231E-1,2.392822690E-2,9.849455833E0,9.857795070E0
6.997083500E-2,4.118646085E-1,2.392822690E-2,9.854242325E0,9.862874673E0
7.240062700E-2,4.046861231E-1,3.110669367E-2,9.847063065E0,9.855424368E0
7.483036600E-2,3.951148391E-1,1.674975827E-2,9.844670296E0,9.852610290E0
7.726015800E-2,3.975076675E-1,2.632104978E-2,9.832706451E0,9.840773410E0
7.968995000E-2,3.807578981E-1,2.871387079E-2,9.837491989E0,9.844899680E0
8.211974100E-2,3.735794425E-1,1.674975827E-2,9.849455833E0,9.856552256E0
8.454953300E-2,3.879363835E-1,2.153540403E-2,9.851848602E0,9.859507051E0
8.697932500E-2,3.879363835E-1,3.349951655E-2,9.835099220E0,9.842804150E0
8.940906400E-2,3.951148391E-1,4.307080805E-2,9.835099220E0,9.843126917E0
9.183885600E-2,4.142574072E-1,4.307080805E-2,9.839884758E0,9.848695159E0
9.426864800E-2,4.118646085E-1,2.871387079E-2,9.851848602E0,9.860495820E0
9.669843900E-2,4.046861231E-1,4.067798331E-2,9.847063065E0,9.855459226E0
9.912823100E-2,4.118646085E-1,2.392822690E-2,9.849455833E0,9.858092373E0
1.015580230E-1,3.975076675E-1,2.392822690E-2,9.851848602E0,9.859893802E0
1.039877620E-1,3.783650696E-1,1.914258115E-2,9.847063065E0,9.854348155E0
1.064175540E-1,3.855435550E-1,3.828516230E-2,9.839884758E0,9.847509413E0
1.088473450E-1,3.831507266E-1,3.828516230E-2,9.842277527E0,9.849806960E0
1.112771370E-1,3.783650696E-1,4.307080805E-2,9.837491989E0,9.844859768E0
